nama_produk,energy,saturated_fats,sugars,sodium,proteins,fibers,fruits_vegetables,n_points,p_points,nutri_score,category
PucukHarum_Teh_TehMelati_250mL,70,0.0,18.0,0.01,0,0,0,11.728070175438596,1.0,10.728070175438596,D
PucukHarum_Teh_TehMelati_350mL,70,0.0,18.0,0.01,0,0,0,11.728070175438596,1.0,10.728070175438596,D
PucukHarum_Teh_TehLessSugar_350mL,45,0.0,12.0,0.015,0,0,0,7.059139784946237,1.0,6.059139784946237,C
PucukHarum_Teh_TehMelati_500mL,70,0.0,18.0,0.01,0,0,0,11.728070175438596,1.0,10.728070175438596,D
PucukHarum_Teh_TehLessSugar_500mL,45,0.0,12.0,0.015,0,0,0,7.059139784946237,1.0,6.059139784946237,C
PucukHarum_Teh_TehMelati_13000mL,70,0.0,18.0,0.01,0,0,0,11.728070175438596,1.0,10.728070175438596,D
SosroFruitTea_Teh_Apple_350mL,120,0.0,24.0,0.055,0,0,0,13.40304922068807,1.0,12.40304922068807,D
SosroFruitTea_Teh_Blackcurrant_350mL,120,0.0,24.0,0.055,0,0,0,13.40304922068807,1.0,12.40304922068807,D
SosroFruitTea_Teh_Freeze_350mL,120,0.0,27.0,0.04,0,0,0,14.986383145287933,1.0,13.986383145287933,D
SosroFruitTea_Teh_Lemon_350mL,100,0.0,23.0,0.055,0,0,0,7.783756697673799,1.0,6.783756697673799,C
SosroFruitTea_Teh_Strawberry_350mL,90,0.0,22.0,0.06,0,0,0,9.830582693232387,1.0,8.830582693232387,C
SosroFruitTea_Teh_PassionFruit_350mL,100,0.0,23.0,0.08,0,0,0,7.783756697673799,1.0,6.783756697673799,C
SosroFruitTea_Teh_X-Treme_350mL,220,0.0,56.0,0.112,0,0,0,4.171183144329501,1.0,3.1711831443295013,C
SosroFruitTea_Teh_Apel_500mL,120,0.0,22.0,0.06,0,0,0,10.427082294790718,1.0,9.427082294790718,C
SosroFruitTea_Teh_Blackcurrant_500mL,120,0.0,30.0,0.06,0,0,0,9.8983095416175,1.0,8.8983095416175,C
SosroFruitTea_Teh_Freeze_500mL,120,0.0,30.0,0.06,0,0,0,9.8983095416175,1.0,8.8983095416175,C
SosroFruitTea_Teh_Lemon_500mL,120,0.0,24.0,0.055,0,0,0,13.40304922068807,1.0,12.40304922068807,D
SosroFruitTea_Teh_Strawberry_500mL,120,0.0,24.0,0.055,0,0,0,13.40304922068807,1.0,12.40304922068807,D
SosroFruitTea_Teh_Yuzu_500mL,120,0.0,24.0,0.055,0,0,0,13.40304922068807,1.0,12.40304922068807,D
SosroFruitTea_Teh_PassionFruit_500mL,120,0.0,24.0,0.055,0,0,0,13.40304922068807,1.0,12.40304922068807,D
SosroFruitTea_Teh_Guava_500mL,120,0.0,24.0,0.055,0,0,0,13.40304922068807,1.0,12.40304922068807,D
SosroFruitTea_Teh_X-Treme_500mL,120,0.0,24.0,0.055,0,0,0,13.40304922068807,1.0,12.40304922068807,D
SosroTehBotol_Teh_Original_450mL,70,0.0,16.0,0.025,0,0,0,7.863387978142076,1.0,6.863387978142076,C
SosroTehBotol_Teh_Original_350mL,110,0.0,26.0,0.04,0,0,0,9.853179605537239,1.0,8.853179605537239,C
SosroTehBotol_Teh_Tawar_350mL,0,0.0,0.0,0.03,0,0,0,1.3333333333333333,1.0,0.33333333333333326,B
