nama_produk,energy,saturated_fats,sugars,sodium,proteins,fibers,fruits_vegetables,n_points,p_points,nutri_score,category
SariRoti_Roti_RotiTawarJumboSpecial_555G,200.0,1.5,4.0,0.28,6.0,0.0,0.0,9.096707652688098,3.888888888888889,5.207818763799208,C
SariRoti_Roti_RotiSandwichCoklat_49G,150.0,2.5,4.0,0.125,3.0,0.0,0.0,6.823143383291728,2.4989583333333334,4.324185049958395,C
SariRoti_Roti_RotiSobekCoklat_214G,350.0,5.0,19.0,0.29,8.0,0.0,0.0,17.125148160337762,5.730696798493408,11.394451361844354,D
SariRoti_Roti_RotiTawarSpecial_370G,200.0,1.5,4.0,0.28,6.0,0.0,0.0,9.096707652688098,3.888888888888889,5.207818763799208,C
SariRoti_Roti_RotiTawarGandum_350G,190.0,1.5,3.0,0.25,6.0,6.0,0.0,6.772097028833248,5.220008302200082,1.5520887266331664,B
SariRoti_Roti_RotiManisSobekCoklat-Keju_214G,350.0,6.0,16.0,0.5,9.0,0.0,0.0,21.32372522732136,4.271929824561403,17.051795402759957,D
SariRoti_Roti_RotiManisSobekCoklat-Srikaya_214G,350.0,5.0,19.0,0.25,8.0,7.0,0.0,17.469892817800414,7.528955874534821,9.940936943265593,C
SariRoti_Roti_RotiTawarKupasExtra Kalsium_200G,100.0,1.0,2.0,0.15,2.0,3.0,0.0,3.840348861034646,2.523809523809524,1.3165393372251217,B
SariRoti_Roti_RotiTawarPandan_370G,200.0,2.0,3.0,0.33,7.0,2.0,0.0,9.605126048518999,2.046225614927905,7.558900433591094,C
SariRoti_Roti_RotiManisChocoBun_55G,200.0,3.0,8.0,0.15,4.0,1.0,0.0,9.851839105443654,2.2,7.651839105443654,C
SariRoti_Roti_RotiTawarJumboMilkySoft_500G,120.0,1.5,3.0,0.2,4.0,1.0,0.0,6.8554905141441695,2.2,4.655490514144169,C
SariRoti_Roti_RotiLapisSurabayaPremium Original_48G,150.0,4.5,8.0,0.07,3.0,1.0,0.0,10.544444533508686,2.4989583333333334,8.045486200175354,C
SariRoti_Roti_RotiTawarKupasJumbo_300G,100.0,1.0,2.0,0.15,3.0,3.0,0.0,3.840348861034646,2.523809523809524,1.3165393372251217,B
SariRoti_Roti_RotiManisKlasikKasurKrimMesses_185G,210.0,4.0,13.0,0.15,5.0,2.0,0.0,12.122465014146497,4.230854360336433,7.891610653810065,C
SariRoti_Roti_RotiTawarMilkySoft_360G,120.0,1.5,1.0,0.17,4.0,1.0,0.0,3.3169637461818997,2.2,1.1169637461818995,B
SariRoti_Roti_RotiSteamedCheeseCakeOriginal,180.0,2.5,15.0,0.125,3.0,1.0,0.0,10.481556552817835,2.4989583333333334,7.982598219484502,C
SariRoti_Roti_RotiLapis,220.0,7.0,10.0,0.035,3.0,1.0,0.0,15.100687884914551,2.4989583333333334,12.601729551581219,D
PrimeBread_Roti_RotiManisIsiKrimKeju,190.0,4.5,6.0,0.24,5.0,4.0,0.0,11.362257424237539,4.211637120832594,7.150620303404945,C
PrimeBread_Roti_RotiManisIsiKrimJagungManis,190.0,4.5,6.0,0.24,5.0,4.0,0.0,11.362257424237539,4.211637120832594,7.150620303404945,C
PrimeBread_Roti_RotiManisIsiKrimVanila,190.0,4.5,6.0,0.24,5.0,4.0,0.0,11.362257424237539,4.211637120832594,7.150620303404945,C
PrimeBread_Roti_RotiManisIsiKrimCokelat,190.0,4.5,6.0,0.24,5.0,4.0,0.0,11.362257424237539,4.211637120832594,7.150620303404945,C
